"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @celtics: “Coach just seems to make the right decision every time,” Al Horford says of Brad Stevens.

RT if you agree with that one☘️",FALSE,0,NA,2018-05-06 22:48:22,FALSE,NA,"993261215190220800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmyneunabr",5066,TRUE,FALSE,NA,NA
"2","RT @Amanda_Pflugrad: The aftermath @celtics @NBA https://t.co/zdvozai6yd",FALSE,0,NA,2018-05-06 22:48:06,FALSE,NA,"993261150031794177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_C_RED",28,TRUE,FALSE,NA,NA
"3","RT @celtics: 3️⃣ - 0️⃣

#BeatPHILA | #CUsRise https://t.co/qB6Q4SPjDN",FALSE,0,NA,2018-05-06 22:47:50,FALSE,NA,"993261081278730240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_C_RED",1554,TRUE,FALSE,NA,NA
"4","RT @DunhamAmos: @4K30compromised @celtics @Al_Horford @jaytatum0 Not happening we are to well locked in and coached !",FALSE,0,NA,2018-05-06 22:47:49,FALSE,NA,"993261076962824194",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4K30compromised",1,TRUE,FALSE,NA,NA
"5","RT @celtics: Being up 3-0 doesn't get us to the Eastern Conference Finals. We have to win one more and our guys are focused on not getting…",FALSE,0,NA,2018-05-06 22:47:44,FALSE,NA,"993261057052377093",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LilBobFN2187",184,TRUE,FALSE,NA,NA
"6","RT @celtics: The Sixers cleared their court of some premature confetti, and now we're the ones who are looking to do the sweeping. https://…",FALSE,0,NA,2018-05-06 22:47:35,FALSE,NA,"993261017504321537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdenGamingYT",2149,TRUE,FALSE,NA,NA
"7","RT @celtics: Views from practice @TempleUniv https://t.co/qzDZCAqxtq",FALSE,0,NA,2018-05-06 22:47:27,FALSE,NA,"993260986109976577",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","sertu_lolew",118,TRUE,FALSE,NA,NA
"8","RT @celtics: All year, we've been tested. All year, we've responded. #CUsRise https://t.co/Nu3KMixy8p",FALSE,0,NA,2018-05-06 22:47:19,FALSE,NA,"993260951532077058",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","sertu_lolew",1836,TRUE,FALSE,NA,NA
"9","RT @celtics: The Sixers cleared their court of some premature confetti, and now we're the ones who are looking to do the sweeping. https://…",FALSE,0,NA,2018-05-06 22:46:54,FALSE,NA,"993260847018467328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeyA2K",2149,TRUE,FALSE,NA,NA
"10","RT @LouisvilleMBB: When you're leading the @Celtics in scoring &amp; assists in the NBA Playoffs AND you're a win away from the Eastern Confere…",FALSE,0,NA,2018-05-06 22:46:44,FALSE,NA,"993260805574586370",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jayy_Ohh56",113,TRUE,FALSE,NA,NA
"11","RT @stephenasmith: Watching these @celtics, I feel like a damn idiot. They are just loaded with players with multi-dimensional skills. Wish…",FALSE,0,NA,2018-05-06 22:46:40,FALSE,NA,"993260788109496320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","urfavstepdad",1549,TRUE,FALSE,NA,NA
"12","RT @JasonBaumPR: Today’s @BostonGlobe @celtics headline FTW https://t.co/by1hCGG3xE",FALSE,0,NA,2018-05-06 22:46:27,FALSE,NA,"993260734267187200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JusTavareSS",27,TRUE,FALSE,NA,NA
"13","RT @SLAMonline: Scary Terry SZN in full effect ������ (via @celtics) https://t.co/TyNWx8Pu5r",FALSE,0,NA,2018-05-06 22:46:19,FALSE,NA,"993260698930155522",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheClumsyWaiter",275,TRUE,FALSE,NA,NA
"14","#BOSvsPHI @celtics #Celtics after watching Jayson Tatum's highlights for the year, Watching how he would go and sla… https://t.co/XEdnIe9Oym",FALSE,0,NA,2018-05-06 22:46:15,TRUE,NA,"993260681490255873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chris_drop",0,FALSE,FALSE,NA,NA
