"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JonathanRD30: #NBAPlayoffs #NBA 
Los usuarios de nba league pass estamos en modo confor para disfrutar de este postre domingo por la ta‚Ä¶",FALSE,0,NA,2018-05-06 22:50:24,FALSE,NA,"993261729772720131",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Albairiszl",1,TRUE,FALSE,NA,NA
"2","RT @NBA: Bring out the @PelicansNBA...

#DoItBigger https://t.co/dJPrOGMnHH",FALSE,0,NA,2018-05-06 22:50:03,FALSE,NA,"993261638726729729",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Hamz_Busar",96,TRUE,FALSE,NA,NA
"3","@PelicansNBA @NBA @98Abdi",FALSE,0,"PelicansNBA",2018-05-06 22:49:49,FALSE,"993166248568537088","993261581059346432","24903350","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","momo_abdu11",0,FALSE,FALSE,NA,NA
"4","RT @NBA: Kevin Durant leads the way with 38 PTS, 9 REB, 5 AST and the @warriors win Game 4!

GSW defeat @PelicansNBA 118-92 to take a 3-1 s‚Ä¶",FALSE,0,NA,2018-05-06 22:49:26,FALSE,NA,"993261485869559809",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","opiopat",444,TRUE,FALSE,NA,NA
"5","RT @niqueynique_: Pelicans won either way today Ì†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÄÔ∏è‚ù§Ô∏è #pelicansgameday #pelicansvswarriors #pelikid #mybrotherisapelikid Ì†ΩÌ∏çÌ†ΩÌ∏ò @PelicansNBA‚Ä¶",FALSE,0,NA,2018-05-06 22:49:09,FALSE,NA,"993261413035659269",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VintageGoldie_",46,TRUE,FALSE,NA,NA
"6","RT @NBA: Kevin Durant leads the way with 38 PTS, 9 REB, 5 AST and the @warriors win Game 4!

GSW defeat @PelicansNBA 118-92 to take a 3-1 s‚Ä¶",FALSE,0,NA,2018-05-06 22:48:54,FALSE,NA,"993261348900491264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Etephyr",445,TRUE,FALSE,NA,NA
"7","RT @NBA: Kevin Durant leads the way with 38 PTS, 9 REB, 5 AST and the @warriors win Game 4!

GSW defeat @PelicansNBA 118-92 to take a 3-1 s‚Ä¶",FALSE,0,NA,2018-05-06 22:48:38,FALSE,NA,"993261284480176129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Giggs_Effect",445,TRUE,FALSE,NA,NA
"8","RT @donnabrazile: When your hometown team loses a crucial @NBA game, you suck it up. Geaux @PelicansNBA 
#WhoDat https://t.co/IFhBuVnj6j",FALSE,0,NA,2018-05-06 22:48:28,FALSE,NA,"993261240427470848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClarkKent7878",6,TRUE,FALSE,NA,NA
"9","RT @NBA: Kevin Durant leads the way with 38 PTS, 9 REB, 5 AST and the @warriors win Game 4!

GSW defeat @PelicansNBA 118-92 to take a 3-1 s‚Ä¶",FALSE,0,NA,2018-05-06 22:48:28,FALSE,NA,"993261240414650368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","menorsojoan",445,TRUE,FALSE,NA,NA
"10","@donnabrazile @NBA @PelicansNBA Love it!  So deeelish!",FALSE,0,"donnabrazile",2018-05-06 22:48:19,FALSE,"993259594905505793","993261202125058048","60919240","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NolaDebina",0,FALSE,FALSE,NA,NA
"11","RT @NBA: Kevin Durant leads the way with 38 PTS, 9 REB, 5 AST and the @warriors win Game 4!

GSW defeat @PelicansNBA 118-92 to take a 3-1 s‚Ä¶",FALSE,0,NA,2018-05-06 22:48:05,FALSE,NA,"993261146667929600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ThaDoggPound91",445,TRUE,FALSE,NA,NA
"12","Bad performance and though loss But still in it. The Pels play their best basketball when their backs are against t‚Ä¶ https://t.co/aoTTInb4ye",FALSE,0,NA,2018-05-06 22:48:00,TRUE,NA,"993261124228468736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JarrettGonzales",0,FALSE,FALSE,NA,NA
"13","RT @famouslos32: FAMOUSLOS COMMENTARY .... Game 4 @Warriors vs @PelicansNBA Ì†æÌ¥£ Safe to say its over for them Pelican boys Ì†ΩÌ∏Ö https://t.co/ydB‚Ä¶",FALSE,0,NA,2018-05-06 22:47:58,FALSE,NA,"993261113923047424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JScarb11",36,TRUE,FALSE,NA,NA
