"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Prophecy_YEC @sixers @StubHub This tweet didn't age well. #TogetherWeTank",FALSE,0,"Prophecy_YEC",2018-05-06 22:51:42,FALSE,"992510045467357189","993262053254148096","472270421","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KazmoJones",0,FALSE,FALSE,NA,NA
"2","@ChaseAIexander @sixers Fuck lebitch",FALSE,0,"ChaseAIexander",2018-05-06 22:50:44,FALSE,"993206135241900032","993261812870246401","930472672009555968","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","gamstar72",0,FALSE,FALSE,NA,NA
"3","@JohnHenryHolli3 @sixers L
#dealwithit",FALSE,0,"JohnHenryHolli3",2018-05-06 22:50:19,FALSE,"992997217299501056","993261705068204032","912125253945610241","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IlClipperista",0,FALSE,FALSE,NA,NA
"4","RT @ATLHawks: we are here for u. @sixers https://t.co/FhV5AVtb4D",FALSE,0,NA,2018-05-06 22:50:15,FALSE,NA,"993261688773402624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Woodall8Sarah",243,TRUE,FALSE,NA,NA
"5","@mattalmao @sixers When I'm mad everyone can be a goth",FALSE,0,"mattalmao",2018-05-06 22:50:13,FALSE,"993254700345692166","993261681844289537","454378860","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snnikolai",0,FALSE,FALSE,NA,NA
"6","RT @NBABrasil: Depois de um DUELO ÉPICO, os @celtics batem os @sixers na PRORROGAÇÃO. O calouro @jaytatum0 foi o cestinha da equipe com 24…",FALSE,0,NA,2018-05-06 22:50:09,FALSE,NA,"993261663859150853",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alberany_alves",28,TRUE,FALSE,NA,NA
"7","RT @victorlahiri: @NBABrasil @celtics @sixers @jaytatum0 @SporTV Preparem as vassouras! https://t.co/mUILRykp7S",FALSE,0,NA,2018-05-06 22:50:01,FALSE,NA,"993261631047131136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alberany_alves",1,TRUE,FALSE,NA,NA
"8","RT @carlosmuniz7: Mico sem igual dos @sixers https://t.co/iScInB1acl",FALSE,0,NA,2018-05-06 22:49:54,FALSE,NA,"993261603280867329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alberany_alves",3,TRUE,FALSE,NA,NA
"9","@sixers This has been a good year but it will be even better if they can just not Boston off tomorrow let's not go out being swept",FALSE,0,"sixers",2018-05-06 22:48:36,FALSE,"993227653447548935","993261276775309312","16201775","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Larryja63833191",0,FALSE,FALSE,NA,NA
"10","@Outsider_Msft @whysoserious629 @sixers @celtics Wrong... all that shit is false. Sorry. You get 4 games at least b… https://t.co/u5gTSpzESQ",FALSE,0,"Outsider_Msft",2018-05-06 22:48:35,TRUE,"993257790306217985","993261270076919808","95329909","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SportsTalkJRL",0,FALSE,FALSE,NA,NA
