"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @warriors: Kevin ‚úåÔ∏è",FALSE,0,NA,2018-05-06 22:49:27,FALSE,NA,"993261486846988294",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realCoachG",104,TRUE,FALSE,NA,NA
"2","RT @NBA: Kevin Durant leads the way with 38 PTS, 9 REB, 5 AST and the @warriors win Game 4!

GSW defeat @PelicansNBA 118-92 to take a 3-1 s‚Ä¶",FALSE,0,NA,2018-05-06 22:49:26,FALSE,NA,"993261485869559809",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","opiopat",443,TRUE,FALSE,NA,NA
"3","What happened Pelicans? @warriors happened!!! Haha.",FALSE,0,NA,2018-05-06 22:49:26,FALSE,NA,"993261485139755008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ylgajardophoto",0,FALSE,FALSE,NA,NA
"4","RT @warriors: The Dubs came out in full force to take Game 4 today in New Orleans. See how they got it done Ì†ΩÌ≥ù https://t.co/vmYqimoHvb",FALSE,0,NA,2018-05-06 22:49:26,FALSE,NA,"993261483977949185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","datboimarvgo",22,TRUE,FALSE,NA,NA
"5","RT @warriors: Dubs bringing that W back to the Bay! Let‚Äôs finish this on #WarriorsGround Ì†ΩÌ≤™ 

Game 5, presented by @BMWUSA goes down Tuesday‚Ä¶",FALSE,0,NA,2018-05-06 22:49:26,FALSE,NA,"993261483680190464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marslovesKN",114,TRUE,FALSE,NA,NA
"6","RT @warriors: Not bad Ì†ΩÌ∏è #StrengthInNumbers https://t.co/r9QTqaZNFh",FALSE,0,NA,2018-05-06 22:49:24,FALSE,NA,"993261475736236032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DirtyFour_",1286,TRUE,FALSE,NA,NA
"7","RT @warriors: Not bad Ì†ΩÌ∏è #StrengthInNumbers https://t.co/r9QTqaZNFh",FALSE,0,NA,2018-05-06 22:49:22,FALSE,NA,"993261467066658816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jonsiethegod",1286,TRUE,FALSE,NA,NA
"8","@warriors Never should‚Äôve signed KD",FALSE,0,"warriors",2018-05-06 22:49:22,FALSE,"993250179808555009","993261466563342337","26270913","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jprxcvii",0,FALSE,FALSE,NA,NA
"9","RT @warriors: The Dubs came out in full force to take Game 4 today in New Orleans. See how they got it done Ì†ΩÌ≥ù https://t.co/vmYqimoHvb",FALSE,0,NA,2018-05-06 22:49:21,FALSE,NA,"993261463333691392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chrisgb00",22,TRUE,FALSE,NA,NA
"10","RT @NBATV: KD drops 38 points in Game 4 to give the @warriors a 3-1 series lead! 

#NBAPlayoffs https://t.co/EA96rHmpEo",FALSE,0,NA,2018-05-06 22:49:20,FALSE,NA,"993261460687081474",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","EmmanuelOmoding",46,TRUE,FALSE,NA,NA
"11","RT @NBA: Kevin Durant powers the @warriors to a 3-1 series lead with 38 PTS, 9 REB, 5 AST in Game 4! #DubNation #NBAPlayoffs https://t.co/B‚Ä¶",FALSE,0,NA,2018-05-06 22:49:18,FALSE,NA,"993261450746621953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ousmane_Saeed",198,TRUE,FALSE,NA,NA
"12","RT @NBA: Congrats to @StephenCurry30 of the @warriors for moving up to 3rd on the #NBAPlayoffs 3PM list!

#ThisIsWhyWePlay #DubNation https‚Ä¶",FALSE,0,NA,2018-05-06 22:49:17,FALSE,NA,"993261447521193984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","egabri16",488,TRUE,FALSE,NA,NA
"13","RT @NBA: Stephen Curry tallies 23 PTS in the @warriors Game 4 road victory! #DubNation #NBAPlayoffs https://t.co/W9rkyf5dLA",FALSE,0,NA,2018-05-06 22:49:17,FALSE,NA,"993261446271258624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","PabloTheDj",94,TRUE,FALSE,NA,NA
