"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @NBA: LeBron James goes off for 38 PTS, 7 AST, 6 REB AND the game-winner to propel @cavs to a 3-0 series lead! 

#WhateverItTakes #NBAPl‚Ä¶",FALSE,0,NA,2018-05-06 22:49:51,FALSE,NA,"993261589821304832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZeroDarkTwenty3",762,TRUE,FALSE,NA,NA
"2","RT @nbcsnl: Don't forget about the other @cavs.

Watch last night's #CutForTime sketch: https://t.co/xE5o7OiDwr https://t.co/XLBuiju6rO",FALSE,0,NA,2018-05-06 22:49:51,FALSE,NA,"993261589057953792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cminds_ofb99",14,TRUE,FALSE,NA,NA
"3","@cavs @elkandelk @CavsMoondog Gotham City calling for Batman has nothing on The Land calling for the King!!! @elkandelk #WhateverItTakes",FALSE,0,"cavs",2018-05-06 22:49:50,FALSE,"993222328053092352","993261584221966337","19263978","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jen_JenChase",0,FALSE,FALSE,NA,NA
"4","RT @BrownsTherapy: They don‚Äôt call him the ‚ÄúKing‚Äù for nothing!!!! #WhateverItTakes #CavsvsRaptors @cavs https://t.co/X9tZTS4YzK",FALSE,0,NA,2018-05-06 22:49:46,FALSE,NA,"993261567549505536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Guinness418",56,TRUE,FALSE,NA,NA
"5","RT @cavs: Unreal. Ì†ΩÌ±ë #WhateverItTakes https://t.co/zsxDkSCj16",FALSE,0,NA,2018-05-06 22:49:44,FALSE,NA,"993261561648214016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PattBoy_",22157,TRUE,FALSE,NA,NA
"6","RT @cavs: Last day to vote #LeBronJames for the @nbacares #NBACommunityAssist Award!

RETWEET TO VOTE! https://t.co/xiv4Qzr97C",FALSE,0,NA,2018-05-06 22:49:41,FALSE,NA,"993261547911766016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hotdog_po",1233,TRUE,FALSE,NA,NA
"7","RT @BleacherReport: Bron shares a moment with his 2 sons after the game-winner Ì†ΩÌπè

(via @cavs)
https://t.co/Si73ohhWqt",FALSE,0,NA,2018-05-06 22:49:24,FALSE,NA,"993261478215143424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timmoses68",7824,TRUE,FALSE,NA,NA
"8","RT @cavs: Whether from The Q or your couch, did you capture your reaction to the game-winner last night? We want to see it! 

Submit your v‚Ä¶",FALSE,0,NA,2018-05-06 22:49:20,FALSE,NA,"993261461156782080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamshnbrnga_",299,TRUE,FALSE,NA,NA
"9","RT @cavs: Family. #ThisIsWhyWePlay https://t.co/Q4MnJHfF3S",FALSE,0,NA,2018-05-06 22:49:17,FALSE,NA,"993261448519409666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","He_DruNkAhH3ll",4377,TRUE,FALSE,NA,NA
"10","RT @cavs: UNREAL. https://t.co/BPDbdhBHA1",FALSE,0,NA,2018-05-06 22:49:09,FALSE,NA,"993261412968554496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jotaaa05",9416,TRUE,FALSE,NA,NA
