"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @utahjazz: Ì†ΩÌµ∂ https://t.co/nx9QEybg3m",FALSE,0,NA,2018-05-06 22:51:13,FALSE,NA,"993261932961587202",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yurifuttavares",8,TRUE,FALSE,NA,NA
"2","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:51:13,FALSE,NA,"993261932516798464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MatthewAPayne",2642,TRUE,FALSE,NA,NA
"3","RT @Rockets_Social: RT if the @HoustonRockets are beating the @utahjazz tonight! https://t.co/1ITpnnF0dg",FALSE,0,NA,2018-05-06 22:51:06,FALSE,NA,"993261904972918784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","twilliford05",5,TRUE,FALSE,NA,NA
"4","RT @MovistarNBA: Los Jazz no se rinden. Mucho m√°s que un sentimiento. #TakeNote @utahjazz https://t.co/Qh8Co4SJ0s",FALSE,0,NA,2018-05-06 22:50:53,FALSE,NA,"993261848739958790",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imanol_RR",2,TRUE,FALSE,NA,NA
"5","RT @MovistarNBA: Los Jazz no se rinden. Mucho m√°s que un sentimiento. #TakeNote @utahjazz https://t.co/Qh8Co4SJ0s",FALSE,0,NA,2018-05-06 22:50:43,FALSE,NA,"993261809003040773",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Checo500",2,TRUE,FALSE,NA,NA
"6","@Amy_Larsen777 @rickyrubio9 @marshastrong18 @5forthefight_ @utahjazz Love love love!!!",FALSE,0,"Amy_Larsen777",2018-05-06 22:50:31,FALSE,"992927836544516096","993261758591651841","991900947344322566","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jayn_harrison",0,FALSE,FALSE,NA,NA
"7","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:50:22,FALSE,NA,"993261718351441921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shepfab5",2642,TRUE,FALSE,NA,NA
"8","RT @vivintarena: GIVEAWAY: Watch the @utahjazz take on the Rockets in Game 4 at #VivintArena on Sunday, May 6th and enjoy dinner at @RandRB‚Ä¶",FALSE,0,NA,2018-05-06 22:50:08,FALSE,NA,"993261662571380736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeBryMichael",1394,TRUE,FALSE,NA,NA
"9","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:50:00,FALSE,NA,"993261626538254336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yorch_99",2642,TRUE,FALSE,NA,NA
"10","Los Jazz no se rinden. Mucho m√°s que un sentimiento. #TakeNote @utahjazz https://t.co/Qh8Co4SJ0s",FALSE,7,NA,2018-05-06 22:49:56,FALSE,NA,"993261609706541056",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","MovistarNBA",2,FALSE,FALSE,NA,NA
"11","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:49:47,FALSE,NA,"993261570758135808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ericprows",2642,TRUE,FALSE,NA,NA
"12","@LarryBeilABC7 @afoyle3131 With the @warriors performance in game 5, do they have a chance against the @utahjazz or‚Ä¶ https://t.co/WpQyUt7egR",FALSE,0,"LarryBeilABC7",2018-05-06 22:49:46,TRUE,NA,"993261566614097920","293302575","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","269Chef",0,FALSE,FALSE,NA,NA
"13","RT @utahjazz: Ricky Rubio is one of 10 nominees for the @nbacares #NBACommunityAssist award and today is the last day to vote.

RT to cast‚Ä¶",FALSE,0,NA,2018-05-06 22:49:43,FALSE,NA,"993261554576474112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","poult19",2642,TRUE,FALSE,NA,NA
"14","RT @Rockets_Social: RT if the @HoustonRockets are beating the @utahjazz tonight! https://t.co/1ITpnnF0dg",FALSE,0,NA,2018-05-06 22:49:26,FALSE,NA,"993261483554476032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrianCoog95",5,TRUE,FALSE,NA,NA
"15","RT @utahjazz: Ì†ΩÌµ∂ https://t.co/nx9QEybg3m",FALSE,0,NA,2018-05-06 22:49:26,FALSE,NA,"993261483038511105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LaloOlg",8,TRUE,FALSE,NA,NA
"16","RT @Rockets_Social: RT if the @HoustonRockets are beating the @utahjazz tonight! https://t.co/1ITpnnF0dg",FALSE,0,NA,2018-05-06 22:49:22,FALSE,NA,"993261469784526849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrTexans",5,TRUE,FALSE,NA,NA
"17","RT @NBA: Looking to even the series 2-2 with a W, the @utahjazz arrive for Game 4 (8pm/et @NBAonTNT). #TakeNote https://t.co/MhwvtQUQIZ",FALSE,0,NA,2018-05-06 22:49:09,FALSE,NA,"993261412679016448",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","bjvanderlinden",111,TRUE,FALSE,NA,NA
