"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Tpr_James_Casey: . @LivePDNation @LivePdFans @LivePdFantasyLG @LivePDFamily @CaseysCrew_  Hello all in #LivePD land. Enjoying the World‚Ä¶",FALSE,0,NA,2018-05-06 22:50:39,FALSE,NA,"993261789709291520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whatsthefreqken",7,TRUE,FALSE,NA,NA
"2","RT @BobSlovak13: #Rockets Trevor Ariza out first as usually warming up. @TrevorAriza @HoustonRockets @abc13houston https://t.co/timJeBPGdF",FALSE,0,NA,2018-05-06 22:50:22,FALSE,NA,"993261719836418048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayBoy116",5,TRUE,FALSE,NA,NA
"3",".@BobSlovak13 waiting to do his live shot from Utah with a familiar face in the background.  Go to‚Ä¶ https://t.co/2IHapjDbXA",FALSE,0,NA,2018-05-06 22:50:01,TRUE,NA,"993261631290445824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TomAbrahams13",1,FALSE,FALSE,NA,NA
"4","RT @HoustonRockets: Game 4. 

Ì†ºÌºäÌ†ºÌºä https://t.co/xSTMXdFhy5",FALSE,0,NA,2018-05-06 22:49:58,FALSE,NA,"993261620272029696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dynaex23",104,TRUE,FALSE,NA,NA
"5","RT @HoustonRockets: RT to wish @CP3 a happy birthday! Ì†ΩÌ∫Ä https://t.co/fIrxOxcBwr",FALSE,0,NA,2018-05-06 22:49:50,FALSE,NA,"993261585232777216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prelude92",3851,TRUE,FALSE,NA,NA
"6","RT @HoustonRockets: Ready for Game 4! #RunAsOne Ì†ΩÌ∫Ä https://t.co/LnQ4FeXLm2",FALSE,0,NA,2018-05-06 22:49:50,FALSE,NA,"993261584167460864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Seth_Vaughan28",831,TRUE,FALSE,NA,NA
"7","RT @HoustonRockets: Game 4. 

Ì†ºÌºäÌ†ºÌºä https://t.co/xSTMXdFhy5",FALSE,0,NA,2018-05-06 22:49:47,FALSE,NA,"993261570703740928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","He1FineArtist",104,TRUE,FALSE,NA,NA
"8","@LarryBeilABC7 @afoyle3131 With the @warriors performance in game 5, do they have a chance against the @utahjazz or‚Ä¶ https://t.co/WpQyUt7egR",FALSE,0,"LarryBeilABC7",2018-05-06 22:49:46,TRUE,NA,"993261566614097920","293302575","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","269Chef",0,FALSE,FALSE,NA,NA
"9","@Jumpshot8 @HoustonRockets @SiriusXMNBA I‚Äôm a Jazz fan and I can‚Äôt wait for the Houston vs Golden State matchup. Th‚Ä¶ https://t.co/VW8IqUBzWY",FALSE,0,"Jumpshot8",2018-05-06 22:49:45,TRUE,"993259601662365696","993261566404444160","21143377","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MeTheDevil414",0,FALSE,FALSE,NA,NA
"10","@Tpr_James_Casey @LivePDNation @LivePdFans @LivePdFantasyLG @LivePDFamily @CaseysCrew_ @astros @Dbacks‚Ä¶ https://t.co/oizqOUIx1P",FALSE,0,"Tpr_James_Casey",2018-05-06 22:49:32,TRUE,"993259752808333312","993261508921618432","867935907319488516","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thriftstorelady",0,FALSE,FALSE,NA,NA
